Wall time,Step,Value
1666688003.6334286,0,0.4583548903465271
1666688197.559269,1,0.6090705394744873
1666688405.7346416,2,0.6535609364509583
1666688620.3278816,3,0.6764959692955017
1666688835.3359418,4,0.7078806757926941
1666689053.0437183,5,0.7149508595466614
1666689269.8891091,6,0.7416796088218689
1666689485.061981,7,0.7582342028617859
1666689699.7135837,8,0.7521986365318298
1666689915.4915352,9,0.7920331358909607
1666690129.5627682,10,0.83497154712677
1666690343.6927347,11,0.8387653231620789
1666690557.8931189,12,0.8492843508720398
1666690772.5993795,13,0.846525251865387
1666690985.4384687,14,0.8482496738433838
1666691200.482398,15,0.8572167754173279
1666691413.4347458,16,0.8642869591712952
1666691626.76546,17,0.8789446353912354
1666691839.3150942,18,0.8758406639099121
1666692053.7506235,19,0.8884290456771851
1666692265.6984143,20,0.9217106103897095
1666692478.0260797,21,0.9351612329483032
1666692689.787622,22,0.9389550089836121
1666692901.940957,23,0.9422314167022705
1666693114.331569,24,0.9441282749176025
1666693328.9421184,25,0.9537851214408875
1666693538.667993,26,0.9541299939155579
1666693749.5555575,27,0.9556820392608643
1666693960.37881,28,0.953440248966217
1666694170.8186743,29,0.9605104327201843
1666694380.4932709,30,0.9772374629974365
1666694591.2794094,31,0.985514760017395
1666694801.6766398,32,0.9799965620040894
1666695013.1392798,33,0.9831005334854126
1666695222.4603622,34,0.9891360402107239
1666695432.5616632,35,0.9849973917007446
1666695641.5559375,36,0.9846525192260742
1666695852.5551052,37,0.9791343212127686
1666696061.4858654,38,0.9882738590240479
1666696272.1113083,39,0.9875840544700623
1666696481.1066272,40,0.9949991106987
1666696691.650585,41,0.9955164790153503
1666696901.9773543,42,0.9949991106987
1666697112.214353,43,0.9965511560440063
1666697322.3575838,44,0.9944818019866943
1666697533.4296238,45,0.9939644932746887
1666697742.6471906,46,0.9944818019866943
1666697953.4094625,47,0.9965511560440063
1666698162.80032,48,0.9920675754547119
1666698372.9321387,49,0.9953440427780151
1666698581.878485,50,0.9967235922813416
1666698791.610397,51,0.998965322971344
1666699001.3140378,52,0.998965322971344
1666699210.4028227,53,0.9979307055473328
1666699419.074744,54,0.9986204504966736
1666699629.088135,55,0.9987928867340088
1666699838.828398,56,0.9994826912879944
1666700049.2275445,57,0.9984480142593384
1666700259.0741343,58,0.9991377592086792
1666700468.0437903,59,0.9993102550506592
1666700677.7837386,60,0.9991377592086792
1666700887.051608,61,0.9996551275253296
1666701097.085223,62,0.9996551275253296
1666701307.7112253,63,0.9998275637626648
1666701525.0068712,64,0.9991377592086792
1666701740.9538617,65,0.9998275637626648
1666701955.9361308,66,1.0
1666702169.889075,67,0.9996551275253296
1666702387.5491445,68,0.9996551275253296
1666702598.2162623,69,1.0
1666702810.35824,70,1.0
1666703023.38523,71,0.9987928867340088
1666703237.471594,72,0.9993102550506592
1666703455.2138343,73,0.9998275637626648
1666703671.650135,74,0.9996551275253296
1666703882.2911987,75,1.0
