Wall time,Step,Value
1666453119.2888818,0,0.38058286905288696
1666453410.8414505,1,0.5228487849235535
1666453709.551618,2,0.5585445761680603
1666454006.8352678,3,0.5764787197113037
1666454303.5667024,4,0.5956199169158936
1666454598.27786,5,0.6361441612243652
1666454888.0458684,6,0.6482152342796326
1666455175.7561374,7,0.6666666865348816
1666455462.3348827,8,0.6839110255241394
1666455748.4151187,9,0.6921883225440979
1666456032.9931347,10,0.7521986365318298
1666456317.2870314,11,0.7575443983078003
1666456600.7641118,12,0.7668563723564148
1666456885.3631337,13,0.7813416123390198
1666457167.7327209,14,0.7909984588623047
1666457450.773234,15,0.8004828691482544
1666457732.604598,16,0.8084152340888977
1666458014.9484606,17,0.8265218138694763
1666458295.350376,18,0.8227280378341675
1666458579.0217624,19,0.8404897451400757
1666458860.3401155,20,0.8601483106613159
1666459142.5791528,21,0.8661838173866272
1666459425.190395,22,0.8692877888679504
1666459708.416223,23,0.8760131001472473
1666459989.6617174,24,0.8808415532112122
1666460271.1689136,25,0.8879117369651794
1666460551.836565,26,0.8799793124198914
1666460834.9880056,27,0.8954992294311523
1666461119.3630025,28,0.9041213989257812
1666461402.3498333,29,0.9023969769477844
1666461681.7946758,30,0.9182617664337158
1666461963.9896595,31,0.9253319501876831
1666462246.8373418,32,0.9387825727462769
1666462532.3077998,33,0.9337816834449768
1666462814.386414,34,0.9437834024429321
1666463098.245529,35,0.9474047422409058
1666463378.5234773,36,0.9453353881835938
1666463660.7181113,37,0.9491291642189026
1666463941.0886683,38,0.9517158269882202
1666464221.67187,39,0.9522331357002258
1666464501.4239914,40,0.9637868404388428
1666464782.5129435,41,0.9656837582588196
1666465063.2387917,42,0.9684428572654724
1666465344.5212004,43,0.9668908715248108
1666465623.7668974,44,0.9706845879554749
1666465903.0123067,45,0.9718917012214661
1666466183.2431233,46,0.9729263782501221
1666466463.6630433,47,0.9732712507247925
1666466744.6767387,48,0.9729263782501221
1666467027.100161,49,0.9724090099334717
1666467308.5817373,50,0.9777547717094421
1666467590.2376847,51,0.984480082988739
1666467871.608935,52,0.9806863069534302
1666468152.753591,53,0.9812036752700806
1666468434.0053124,54,0.982583224773407
1666468716.820066,55,0.9822382926940918
1666468998.4358792,56,0.9856871962547302
1666469282.0669312,57,0.984480082988739
1666469564.1709971,58,0.986376941204071
1666469846.5213332,59,0.9856871962547302
1666470129.296878,60,0.9872391819953918
1666470411.182298,61,0.9867218732833862
1666470692.931808,62,0.9887911677360535
1666470976.824196,63,0.9879289269447327
1666471259.0041075,64,0.9884462952613831
1666471541.8430603,65,0.9903431534767151
1666471823.743383,66,0.9901707172393799
1666472105.452179,67,0.9893084764480591
1666472386.4084384,68,0.986376941204071
1666472668.6994338,69,0.9884462952613831
1666472950.8620594,70,0.9906880259513855
1666473232.8469238,71,0.9918951392173767
1666473514.7738388,72,0.9918951392173767
1666473796.885275,73,0.9906880259513855
1666474078.2866907,74,0.9910329580307007
1666474359.4793735,75,0.9903431534767151
1666474640.713595,76,0.9910329580307007
1666474922.4841843,77,0.9939644932746887
1666475206.2415416,78,0.9905155897140503
1666475489.3009994,79,0.9927573800086975
1666475770.4630637,80,0.9925849437713623
1666476051.9015155,81,0.9915502667427063
1666476333.2046885,82,0.9924125075340271
1666476615.4350412,83,0.9910329580307007
1666476896.651712,84,0.9922400116920471
1666477179.1398664,85,0.9936195611953735
1666477459.625296,86,0.9918951392173767
1666477742.6744914,87,0.9932746887207031
1666478022.047235,88,0.9925849437713623
1666478303.4786086,89,0.9901707172393799
1666478583.4315639,90,0.9937920570373535
1666478864.8966453,91,0.9946542382240295
1666479145.7595203,92,0.9908605217933655
1666479428.2755191,93,0.9934471249580383
1666479710.2555063,94,0.9931022524833679
1666479992.7042086,95,0.9932746887207031
1666480273.2215605,96,0.9932746887207031
1666480553.4753993,97,0.9913778305053711
1666480833.9929483,98,0.9920675754547119
1666481116.7209818,99,0.9943093657493591
1666481398.2998755,100,0.9908605217933655
1666481679.1669407,101,0.9906880259513855
1666481960.009999,102,0.9948266744613647
1666482241.3643827,103,0.9946542382240295
1666482521.4806678,104,0.9932746887207031
1666482801.82882,105,0.9915502667427063
1666483082.2379944,106,0.9927573800086975
1666483364.8387663,107,0.9927573800086975
1666483645.7539866,108,0.9951716065406799
1666483927.126024,109,0.9934471249580383
1666484207.440053,110,0.9932746887207031
1666484486.8586276,111,0.9915502667427063
1666484766.5720057,112,0.9927573800086975
1666485047.292136,113,0.9943093657493591
1666485326.1921277,114,0.9936195611953735
1666485606.558666,115,0.9903431534767151
1666485886.413047,116,0.9925849437713623
1666486168.759103,117,0.9924125075340271
1666486448.0784495,118,0.9910329580307007
1666486728.5562022,119,0.9929298162460327
1666487008.284118,120,0.9943093657493591
1666487289.2148972,121,0.9925849437713623
1666487569.5489602,122,0.9927573800086975
1666487850.7558725,123,0.9946542382240295
1666488130.253049,124,0.9925849437713623
1666488410.5071921,125,0.9946542382240295
1666488689.6031604,126,0.9922400116920471
1666488969.7500265,127,0.9937920570373535
1666489249.168828,128,0.9949991106987
1666489530.0395126,129,0.9920675754547119
1666489810.5319643,130,0.9920675754547119
1666490092.4194665,131,0.9937920570373535
1666490374.2174811,132,0.9937920570373535
1666490656.3941534,133,0.9924125075340271
